categories,description,hauteur,largeur,longueur,name,poids,prix,sku,stock,tags,url
pokemon,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",3,3,3,Wartortle,49.6,123.0,9659,24,torrent,https://scrapeme.live/shop/Wartortle/
cocoon,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,2,2,2,Metapod,21.8,148.0,2072,285,cocoon,https://scrapeme.live/shop/Metapod/
pokemon,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",1,1,1,Caterpie,6.4,73.0,7492,40,caterpie,https://scrapeme.live/shop/Caterpie/
pokemon,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",1,1,1,Squirtle,19.8,130.0,6094,178,squirtle,https://scrapeme.live/shop/Squirtle/
pokemon,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,5,5,5,Blastoise,188.5,76.0,5212,88,blastoise,https://scrapeme.live/shop/Blastoise/
butterfly,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",3,3,3,Butterfree,70.5,162.0,9507,242,butterfly,https://scrapeme.live/shop/Butterfree/
hairy bug,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,1,1,1,Weedle,7.1,25.0,7525,65,hairy bug,https://scrapeme.live/shop/Weedle/
cocoon,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",2,2,2,Kakuna,22.0,148.0,1049,260,cocoon,https://scrapeme.live/shop/Kakuna/
flame,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",5,5,5,Charizard,199.5,156.0,8840,31,blaze,https://scrapeme.live/shop/Charizard/
lizard,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",2,2,2,Charmander,18.7,48.0,9086,206,blaze,https://scrapeme.live/shop/Charmander/
flame,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",3,3,3,Charmeleon,41.9,165.0,6565,284,blaze,https://scrapeme.live/shop/Charmeleon/
pokemon,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,6,6,6,Venusaur,220.5,105.0,7036,30,overgrow,https://scrapeme.live/shop/Venusaur/
pokemon,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",3,3,3,Ivysaur,28.7,87.0,7227,142,ivysaur,https://scrapeme.live/shop/Ivysaur/
pokemon,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",2,2,2,Bulbasaur,15.2,63.0,4391,45,bulbasaur,https://scrapeme.live/shop/Bulbasaur/
pokemon,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",1,1,1,Pidgey,4.0,159.0,9452,175,keen eye,https://scrapeme.live/shop/Pidgey/
poison bee,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",3,3,3,Beedrill,65.0,168.0,6542,125,beedrill,https://scrapeme.live/shop/Beedrill/
mouse,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",2,2,2,Raticate,40.8,60.0,5745,204,mouse,https://scrapeme.live/shop/Raticate/
poison pin,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",2,2,2,Nidorino,43.0,179.0,9646,279,nidorino,https://scrapeme.live/shop/Nidorino/
drill,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",4,4,4,Nidoking,136.7,31.0,1159,178,drill,https://scrapeme.live/shop/Nidoking/
mouse,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",1,1,1,Rattata,7.7,128.0,1009,16,mouse,https://scrapeme.live/shop/Rattata/
